# eta1    eta2   pt1     pt2    effData dEffData effMC  dEffMC  effData
#                                                               diffTag
-2.500	-2.000	10.000	20.000	0.000	0.000	0.000	0.000	0.000
-2.500	-2.000	20.000	30.000	0.498	0.000	0.652	0.000	0.495
-2.500	-2.000	30.000	40.000	0.826	0.000	0.882	0.000	0.826
-2.500	-2.000	40.000	50.000	0.858	0.000	0.902	0.000	0.858
-2.500	-2.000	50.000	200.	0.871	0.000	0.914	0.000	0.869
-2.000	-1.600	10.000	20.000	0.000	0.000	0.001	0.000	0.000
-2.000	-1.600	20.000	30.000	0.486	0.000	0.550	0.000	0.474
-2.000	-1.600	30.000	40.000	0.837	0.000	0.866	0.000	0.835
-2.000	-1.600	40.000	50.000	0.852	0.000	0.884	0.000	0.853
-2.000	-1.600	50.000	200.	0.863	0.000	0.895	0.000	0.866
-1.600	-1.400	10.000	20.000	0.005	0.000	0.004	0.000	0.000
-1.600	-1.400	20.000	30.000	0.336	0.001	0.383	0.000	0.336
-1.600	-1.400	30.000	40.000	0.782	0.000	0.804	0.000	0.778
-1.600	-1.400	40.000	50.000	0.843	0.000	0.859	0.000	0.843
-1.600	-1.400	50.000	200.	0.860	0.001	0.873	0.000	0.863
-1.400	-0.800	10.000	20.000	0.000	0.000	0.000	0.000	0.000
-1.400	-0.800	20.000	30.000	0.496	0.000	0.528	0.000	0.492
-1.400	-0.800	30.000	40.000	0.860	0.000	0.882	0.000	0.860
-1.400	-0.800	40.000	50.000	0.916	0.000	0.931	0.000	0.916
-1.400	-0.800	50.000	200.	0.940	0.000	0.958	0.000	0.941
-0.800	0.000	10.000	20.000	0.000	0.000	0.000	0.000	0.000
-0.800	0.000	20.000	30.000	0.624	0.000	0.671	0.000	0.615
-0.800	0.000	30.000	40.000	0.888	0.000	0.910	0.000	0.889
-0.800	0.000	40.000	50.000	0.927	0.000	0.947	0.000	0.927
-0.800	0.000	50.000	200.	0.944	0.000	0.965	0.000	0.943
0.000	0.800	10.000	20.000	0.001	0.000	0.000	0.000	0.000
0.000	0.800	20.000	30.000	0.633	0.000	0.681	0.000	0.621
0.000	0.800	30.000	40.000	0.898	0.000	0.912	0.000	0.898
0.000	0.800	40.000	50.000	0.935	0.000	0.949	0.000	0.935
0.000	0.800	50.000	200.	0.954	0.000	0.967	0.000	0.952
0.800	1.400	10.000	20.000	0.000	0.000	0.000	0.000	0.001
0.800	1.400	20.000	30.000	0.505	0.000	0.543	0.000	0.499
0.800	1.400	30.000	40.000	0.873	0.000	0.887	0.000	0.873
0.800	1.400	40.000	50.000	0.923	0.000	0.935	0.000	0.922
0.800	1.400	50.000	200.	0.949	0.000	0.959	0.000	0.950
1.400	1.600	10.000	20.000	0.005	0.000	0.004	0.000	0.006
1.400	1.600	20.000	30.000	0.313	0.001	0.373	0.000	0.314
1.400	1.600	30.000	40.000	0.782	0.000	0.797	0.000	0.782
1.400	1.600	40.000	50.000	0.832	0.000	0.850	0.000	0.837
1.400	1.600	50.000	200.	0.867	0.001	0.869	0.000	0.865
1.600	2.000	10.000	20.000	0.002	0.000	0.001	0.000	0.002
1.600	2.000	20.000	30.000	0.473	0.000	0.553	0.000	0.455
1.600	2.000	30.000	40.000	0.835	0.000	0.869	0.000	0.835
1.600	2.000	40.000	50.000	0.859	0.000	0.888	0.000	0.860
1.600	2.000	50.000	200.	0.868	0.000	0.898	0.000	0.869
2.000	2.500	10.000	20.000	0.001	0.000	0.000	0.000	0.000
2.000	2.500	20.000	30.000	0.492	0.000	0.658	0.000	0.474
2.000	2.500	30.000	40.000	0.829	0.000	0.885	0.000	0.831
2.000	2.500	40.000	50.000	0.863	0.000	0.906	0.000	0.863
2.000	2.500	50.000	200.	0.879	0.000	0.917	0.000	0.880
